type,show_title,week,type2,year,url,url2,url3,url4
m,my_best_friend_anne_frank,2022-02-20,tv,2022,https://www.rottentomatoes.com/m/my_best_friend_anne_frank_2022,https://www.rottentomatoes.com/m/my_best_friend_anne_frank,https://www.rottentomatoes.com/tv/my_best_friend_anne_frank_2022,https://www.rottentomatoes.com/tv/my_best_friend_anne_frank
m,my_brother_my_sister,2021-10-24,tv,2021,https://www.rottentomatoes.com/m/my_brother_my_sister_2021,https://www.rottentomatoes.com/m/my_brother_my_sister,https://www.rottentomatoes.com/tv/my_brother_my_sister_2021,https://www.rottentomatoes.com/tv/my_brother_my_sister
tv,my_dad_the_bounty_hunter,2023-08-27,m,2023,https://www.rottentomatoes.com/tv/my_dad_the_bounty_hunter_2023,https://www.rottentomatoes.com/tv/my_dad_the_bounty_hunter,https://www.rottentomatoes.com/m/my_dad_the_bounty_hunter_2023,https://www.rottentomatoes.com/m/my_dad_the_bounty_hunter
m,my_daughters_killer,2022-07-24,tv,2022,https://www.rottentomatoes.com/m/my_daughters_killer_2022,https://www.rottentomatoes.com/m/my_daughters_killer,https://www.rottentomatoes.com/tv/my_daughters_killer_2022,https://www.rottentomatoes.com/tv/my_daughters_killer
tv,my_demon,2024-02-04,m,2024,https://www.rottentomatoes.com/tv/my_demon_2024,https://www.rottentomatoes.com/tv/my_demon,https://www.rottentomatoes.com/m/my_demon_2024,https://www.rottentomatoes.com/m/my_demon
m,my_fathers_violin,2022-02-06,tv,2022,https://www.rottentomatoes.com/m/my_fathers_violin_2022,https://www.rottentomatoes.com/m/my_fathers_violin,https://www.rottentomatoes.com/tv/my_fathers_violin_2022,https://www.rottentomatoes.com/tv/my_fathers_violin
tv,my_happy_marriage,2023-09-03,m,2023,https://www.rottentomatoes.com/tv/my_happy_marriage_2023,https://www.rottentomatoes.com/tv/my_happy_marriage,https://www.rottentomatoes.com/m/my_happy_marriage_2023,https://www.rottentomatoes.com/m/my_happy_marriage
tv,my_liberation_notes,2022-06-12,m,2022,https://www.rottentomatoes.com/tv/my_liberation_notes_2022,https://www.rottentomatoes.com/tv/my_liberation_notes,https://www.rottentomatoes.com/m/my_liberation_notes_2022,https://www.rottentomatoes.com/m/my_liberation_notes
tv,my_life_with_the_walter_boys,2024-01-28,m,2024,https://www.rottentomatoes.com/tv/my_life_with_the_walter_boys_2024,https://www.rottentomatoes.com/tv/my_life_with_the_walter_boys,https://www.rottentomatoes.com/m/my_life_with_the_walter_boys_2024,https://www.rottentomatoes.com/m/my_life_with_the_walter_boys
m,my_little_pony_a_new_generation,2021-10-24,tv,2021,https://www.rottentomatoes.com/m/my_little_pony_a_new_generation_2021,https://www.rottentomatoes.com/m/my_little_pony_a_new_generation,https://www.rottentomatoes.com/tv/my_little_pony_a_new_generation_2021,https://www.rottentomatoes.com/tv/my_little_pony_a_new_generation
