category,show_title,week,category2,year,url,url2,url3,url4
tv,sintonia,2023-08-06,m,2023,https://www.rottentomatoes.com/tv/sintonia_2023,https://www.rottentomatoes.com/tv/sintonia,https://www.rottentomatoes.com/m/sintonia_2023,https://www.rottentomatoes.com/m/sintonia
m,the_outlaws,2023-07-30,tv,2023,https://www.rottentomatoes.com/m/the_outlaws_2023,https://www.rottentomatoes.com/m/the_outlaws,https://www.rottentomatoes.com/tv/the_outlaws_2023,https://www.rottentomatoes.com/tv/the_outlaws
m,unknown_cosmic_time_machine,2023-07-30,tv,2023,https://www.rottentomatoes.com/m/unknown_cosmic_time_machine_2023,https://www.rottentomatoes.com/m/unknown_cosmic_time_machine,https://www.rottentomatoes.com/tv/unknown_cosmic_time_machine_2023,https://www.rottentomatoes.com/tv/unknown_cosmic_time_machine
m,puss_in_boots_the_last_wish,2023-07-30,tv,2023,https://www.rottentomatoes.com/m/puss_in_boots_the_last_wish_2023,https://www.rottentomatoes.com/m/puss_in_boots_the_last_wish,https://www.rottentomatoes.com/tv/puss_in_boots_the_last_wish_2023,https://www.rottentomatoes.com/tv/puss_in_boots_the_last_wish
m,the_deepest_breath,2023-07-30,tv,2023,https://www.rottentomatoes.com/m/the_deepest_breath_2023,https://www.rottentomatoes.com/m/the_deepest_breath,https://www.rottentomatoes.com/tv/the_deepest_breath_2023,https://www.rottentomatoes.com/tv/the_deepest_breath
m,extraction_2,2023-07-30,tv,2023,https://www.rottentomatoes.com/m/extraction_2_2023,https://www.rottentomatoes.com/m/extraction_2,https://www.rottentomatoes.com/tv/extraction_2_2023,https://www.rottentomatoes.com/tv/extraction_2
tv,the_almost_legends,2023-07-30,m,2023,https://www.rottentomatoes.com/tv/the_almost_legends_2023,https://www.rottentomatoes.com/tv/the_almost_legends,https://www.rottentomatoes.com/m/the_almost_legends_2023,https://www.rottentomatoes.com/m/the_almost_legends
tv,love_tactics_2,2023-07-30,m,2023,https://www.rottentomatoes.com/tv/love_tactics_2_2023,https://www.rottentomatoes.com/tv/love_tactics_2,https://www.rottentomatoes.com/m/love_tactics_2_2023,https://www.rottentomatoes.com/m/love_tactics_2
tv,kingdom2_far_and_away,2023-07-30,m,2023,https://www.rottentomatoes.com/tv/kingdom2_far_and_away_2023,https://www.rottentomatoes.com/tv/kingdom2_far_and_away,https://www.rottentomatoes.com/m/kingdom2_far_and_away_2023,https://www.rottentomatoes.com/m/kingdom2_far_and_away
tv,maamannan_tamil,2023-07-30,m,2023,https://www.rottentomatoes.com/tv/maamannan_tamil_2023,https://www.rottentomatoes.com/tv/maamannan_tamil,https://www.rottentomatoes.com/m/maamannan_tamil_2023,https://www.rottentomatoes.com/m/maamannan_tamil
tv,gold_brick,2023-07-30,m,2023,https://www.rottentomatoes.com/tv/gold_brick_2023,https://www.rottentomatoes.com/tv/gold_brick,https://www.rottentomatoes.com/m/gold_brick_2023,https://www.rottentomatoes.com/m/gold_brick
tv,survival_of_the_thickest,2023-07-30,m,2023,https://www.rottentomatoes.com/tv/survival_of_the_thickest_2023,https://www.rottentomatoes.com/tv/survival_of_the_thickest,https://www.rottentomatoes.com/m/survival_of_the_thickest_2023,https://www.rottentomatoes.com/m/survival_of_the_thickest
tv,barbie_life_in_the_dreamhouse,2023-07-30,m,2023,https://www.rottentomatoes.com/tv/barbie_life_in_the_dreamhouse_2023,https://www.rottentomatoes.com/tv/barbie_life_in_the_dreamhouse,https://www.rottentomatoes.com/m/barbie_life_in_the_dreamhouse_2023,https://www.rottentomatoes.com/m/barbie_life_in_the_dreamhouse
tv,quarterback,2023-07-30,m,2023,https://www.rottentomatoes.com/tv/quarterback_2023,https://www.rottentomatoes.com/tv/quarterback,https://www.rottentomatoes.com/m/quarterback_2023,https://www.rottentomatoes.com/m/quarterback
tv,mark_normand_soup_to_nuts,2023-07-30,m,2023,https://www.rottentomatoes.com/tv/mark_normand_soup_to_nuts_2023,https://www.rottentomatoes.com/tv/mark_normand_soup_to_nuts,https://www.rottentomatoes.com/m/mark_normand_soup_to_nuts_2023,https://www.rottentomatoes.com/m/mark_normand_soup_to_nuts
tv,burn_the_house_down,2023-07-30,m,2023,https://www.rottentomatoes.com/tv/burn_the_house_down_2023,https://www.rottentomatoes.com/tv/burn_the_house_down,https://www.rottentomatoes.com/m/burn_the_house_down_2023,https://www.rottentomatoes.com/m/burn_the_house_down
tv,jujutsu_kaisen,2023-07-30,m,2023,https://www.rottentomatoes.com/tv/jujutsu_kaisen_2023,https://www.rottentomatoes.com/tv/jujutsu_kaisen,https://www.rottentomatoes.com/m/jujutsu_kaisen_2023,https://www.rottentomatoes.com/m/jujutsu_kaisen
m,unknown_cave_of_bones,2023-07-23,tv,2023,https://www.rottentomatoes.com/m/unknown_cave_of_bones_2023,https://www.rottentomatoes.com/m/unknown_cave_of_bones,https://www.rottentomatoes.com/tv/unknown_cave_of_bones_2023,https://www.rottentomatoes.com/tv/unknown_cave_of_bones
m,ride_along,2023-07-23,tv,2023,https://www.rottentomatoes.com/m/ride_along_2023,https://www.rottentomatoes.com/m/ride_along,https://www.rottentomatoes.com/tv/ride_along_2023,https://www.rottentomatoes.com/tv/ride_along
m,man_on_fire,2023-07-23,tv,2023,https://www.rottentomatoes.com/m/man_on_fire_2023,https://www.rottentomatoes.com/m/man_on_fire,https://www.rottentomatoes.com/tv/man_on_fire_2023,https://www.rottentomatoes.com/tv/man_on_fire
